"car_name","Price"
"Toyota Camry Solara SE 2dr",19635
"Toyota Camry Solara SE V6 2dr",21965
"Toyota Prius 4dr (gas/electric)",20510
"Volkswagen Golf GLS 4dr",18715
"Volkswagen GTI 1.8T 2dr hatch",19825
"Volkswagen Jetta GLS TDI 4dr",21055
"Volkswagen New Beetle GLS 1.8T 2dr",21055
"Acura RSX Type S 2dr",23820
"Acura TSX 4dr",26990
"Audi A4 1.8T 4dr",25940
"BMW 325i 4dr",28495
"Buick LeSabre Custom 4dr",26470
"Buick Regal LS 4dr",24895
"Buick Regal GS 4dr",28345
"Chevrolet Impala LS 4dr",25000
"Chevrolet Impala SS 4dr",27995
"Chevrolet Malibu LT 4dr",23495
"Chevrolet Monte Carlo SS 2dr",24225
"Chrysler 300M 4dr",29865
"Chrysler Concorde LX 4dr",24130
"Chrysler Concorde LXi 4dr",26860
"Chrvsler PT Cruiser GT 4dr",25955
"Chrysler Sebring convertible 2dr",25215
"Dodge Intrepid ES 4dr",24885
"Ford Crown Victoria 4dr",24345
"Ford Crown Victoria LX 4dr",27370
"Honda Accord LX V6 4dr",23760
"Honda Accord EX V6 2dr",26960
"Hyundai XG350 4dr",24589
"Hyundai XG350 L 4dr",26189
"Infiniti G35 4dr",28495
"Infiniti G35 Sport Coupe 2dr",29795
"Jaguar X-Type 2.5 4dr",29995
"Kia Amanti 4dr",26000
"Mercedes-Benz C230 Sport 2dr",26060
"Mercedes-Benz C320 Sport 2dr",28370
"Mercury Grand Marquis GS 4dr",24695
"Mercury Grand Marquis LS Premium 4dr",29595
"Mercury Sable LS Premium 4dr",23895
"Mitsubishi Diamante LS 4dr",29282
"Mitsubishi Galant GTS 4dr",25700
"Nissan Altima SE 4dr",23290
"Nissan Maxima SE 4dr",27490
"Nissan Maxima SL 4dr",29440
"Oldsmobile Alero GLS 2dr",23675
"Pontiac Grand Prix GT2 4dr",24295
"Subaru Legacy GT 4dr",25645
"Subaru Outback Limited Sedan 4dr",27145
"Subaru Outback H6 4dr",29345
"Toyota Avalon XL 4dr",26560
"Toyota Camry XLE V6 4dr",25920
"Toyota Camry Solara SLE V6 2dr",26510
"Volkswagen Jetta GLI VR6 4dr",23785
"Volkswagen New Beetle GLS convertible 2dr",23215
"Volkswagen Passat GLS 4dr",23955
"Volvo S40 4dr",25135
"Acura TL 4dr",33195
"Audi A41.8T convertible 2dr",35940
"Audi A4 3.0 4dr",31840
"Audi A4 3.0 Quattro 4dr manual",33430
"Audi A4 3.0 Quattro 4dr auto",34480
"Audi A6 3.0 4dr",36640
"Audi A6 3.0 Quattro 4dr",39640
"BMW 325Ci 2dr",30795
"BMW 325Ci convertible 2dr",37995
"BMW 325xi 4dr",30245
"BMW 330i 4dr",35495
"BMW 330Ci 2dr",36995
"BMW 330xi 4dr",37245
"BMW 525i 4dr",39995
"Buick LeSabre Limited 4dr",32245
"Buick Park Avenue 4dr",35545
"Cadillac CTS VVT 4dr",30835
"Chrysler 300M Special Edition 4dr",33295
"Chrysler Sebring Limited convertible 2dr",30950
"Ford Crown Victoria LX Sport 4dr",30315
"Infiniti G35 4dr",32445
"Infiniti I35 4dr",31145
"Jaguar X-Type 3.0 4dr",33995
"Lexus ES 330 4dr",32350
"Lexus IS 300 4dr manual",31045
"Lexus IS 300 4dr auto",32415
"Lincoln LS V6 Luxury 4dr",32495
"Lincoln LS V6 Premium 4dr",36895
"Mercedes-Benz C240 4dr",32280
"Mercedes-Benz C240 4dr",33480
"Mercedes-Benz C320 Sport 4dr",35920
"Mercedes-Benz C320 4dr",37630
"Mercedes-Benz C320 4dr",38830
"Mercury Grand Marquis LS Ultimate 4dr",30895
"Mercury Marauder 4dr",34495
"Pontiac Bonneville GXP 4dr",35995
"Saab 9-3 Arc Sport 4dr",30860
"Saab 9-3 Aero 4dr",33360
"Saab 9-5 Arc 4dr",35105
"Saab 9-5 Aero 4dr",39465
"Subaru Outback H-6 VDC 4dr",31545
"Toyota Avalon XLS 4dr",30920
"Volkswagen Passat GLX V6 4MOTION 4dr",33180
"Volkswagen Passat W8 4MOTION 4dr",39235
"Volvo S60 2.5 4dr",31745
"Volvo S60 T5 4dr",34845
"Volvo S60 R 4dr",37560
"Volvo S80 2.9 4dr",37730
"Volvo S80 2.5T 4dr",37885
"Acura 3.5 RL 4dr",43755
"Acura 3.5 RL w/Navigation 4dr",46100
"Audi A4 3.0 convertible 2dr",42490
"Audi A4 3.0 Quattro convertible 2dr",44240
"Audi A6 2.7 Turbo Quattro 4dr",42840
"Audi A6 4.2 Quattro 4dr",49690
"Audi A8 L Quattro 4dr",69190
"Audi S4 Quattro 4dr",48040
"BMW 330Ci convertible 2dr",44295
"BMW 530i 4dr",44995
"BMW 545iA 4dr",54995
"BMW 745i 4dr",69195
"BMW 745Li 4dr",73195
"Buick Park Avenue Ultra 4dr",40720
"Cadillac Deville 4dr",45445
"Cadillac Deville DTS 4dr",50595
"Cadillac Seville SLS 4dr",47955
"Infiniti M45 4dr",42845
"Infiniti Q45 Luxury 4dr",52545
"Jaguar S-Type 3.0 4dr",43895
"Jaguar S-Type 4.2 4dr",49995
"Jaguar S-Type R 4dr",63120
"Jaguar Vanden Plas 4dr",68995
"Jaguar XJ8 4dr",59995
"Jaguar XJR 4dr",74995
"Lexus GS 300 4dr",41010
"Lexus GS 430 4dr",48450
"Lexus LS 430 4dr",55750
"Lincoln LS V8 Sport 4dr",40095
"Lincoln LS V8 Ultimate 4dr",43495
"Lincoln Town Car Signature 4dr",41815
"Lincoln Town Car Ultimate 4dr",44925
"Lincoln Town Car Ultimate L 4dr",50470
"Mercedes-Benz C32 AMG 4dr",52120
"Mercedes-Benz CL500 2dr",94820
"Mercedes-Benz CL600 2dr",128420
"Mercedes-Benz CLK320 coupe 2dr (convertible)",45707
"Mercedes-Benz CLK500 coupe 2dr (convertible)",52800
"Mercedes-Benz E320 4dr",48170
"Mercedes-Benz E500 4dr",57270
"Mercedes-Benz S430 4dr",74320
"Mercedes-Benz S500 4dr",86970
"Saab 9-3 Arc convertible 2dr",40670
"Saab 9-3 Aero convertible 2dr",43175
"Volkswagen Phaeton 4dr",65000
"Volkswagen Phaeton W12 4dr",75000
"Volvo C70 LPT convertible 2dr",40565
"Volvo C70 HPT convertible 2dr",42565
"Volvo S80 T6 4dr",45210
"Acura NSX coupe 2dr manual S",89765
"Audi RS 6 4dr",84600
"Audi TT 1.8 convertible 2dr (coupe)",35940
"Audi TT 1.8 Quattro 2dr (convertible)",37390
"Audi TT 3.2 coupe 2dr (convertible)",40590
"BMW M3 coupe 2dr",48195
"BMW M3 convertible 2dr",56595
"BMW Z4 convertible 2.5i 2dr",33895
"BMW Z4 convertible 3.0i 2dr",41045
"Cadillac XLR convertible 2dr",76200
"Chevrolet Corvette 2dr",44535
"Chevrolet Corvette convertible 2dr",51535
"Chrysler Crossfire 2dr",34495
"Dodge Viper SRT-10 convertible 2dr",81795
"Ford Mustang 2dr (convertible)",18345
"Ford Mustang GT Premium convertible 2dr",29380
"Ford Thunderbird Deluxe convert w/hardtop 2dr",37530
"Honda S2000 convertible 2dr",33260
"Hyundai Tiburon GT V6 2dr",18739
"Jaguar XK8 coupe 2dr",69995
"Jaguar XK8 convertible 2dr",74995
"Jaguar XKR coupe 2dr",81995
"Jaguar XKR convertible 2dr",86995
"Lexus SC 430 convertible 2dr",63200
"Mazda MX-5 Miata convertible 2dr",22388
"Mazda MX-5 Miata LS convertible 2dr",25193
"Mazda RX-8 4dr automatic",25700
"Mazda RX-8 4dr manual",27200
"Mercedes-Benz SL500 convertible 2dr",90520
"Mercedes-Benz SL55 AMG 2dr",121770
"Mercedes-Benz SL600 convertible 2dr",126670
"Mercedes-Benz SLK230 convertible 2dr",40320
"Mercedes-Benz SLK32 AMG 2dr",56170
"Mitsubishi Eclipse GTS 2dr",25092
"Mitsubishi Eclipse Spyder GT convertible 2dr",26992
"Mitsubishi Lancer Evolution 4dr",29562
"Nissan 350Z coupe 2dr",26910
"Nissan 350Z Enthusiast convertible 2dr",34390
"Pontiac GTO 2dr",33500
"Porsche 911 Carrera convertible 2dr (coupe)",79165
"Porsche 911 Carrera 4S coupe 2dr (convert)",84165
"Porsche 911 Targa coupe 2dr",76765
"Porsche 911 GT2 2dr",192465
"Porsche Boxster convertible 2dr",43365
"Porsche Boxster S convertible 2dr",52365
"Subaru Impreza WRX 4dr",25045
"Subaru Impreza WRX STi 4dr",31545
"Toyota Celica GT-S 2dr",22570
"Toyota MR2 Spyder convertible 2dr",25130
"Cadillac Escaladet",52795
"Cadillac SRX V8",46995
"Chevrolet Suburban 1500 LT",42735
"Chevrolet Tahoe LT",41465
"Dodge Durango SLT",32235
"Ford Excursion 6.8 XLT",41475
"Ford Expedition 4.6 XLT",34560
"GMC Envoy XUV SLE",31890
"CMC Yukon 1500 SLE",35725
"GMC Yukon XL 2500 SLT",46265
"Hummer H2",49995
"Isuzu Ascender S",31849
"Lincoln Navigator Luxury",52775
"Nissan Pathfinder Armada SE",33840
"Toyota Sequoia SR5",35695
"Acura MDX",36945
"BMW X3 3.0i",37000
"BMW X5 4.4i",52195
"Buick Rainier",37895
"Buick Rendezvous CX",26545
"Chevrolet TrailBlazer LT",30295
"Ford Explorer XLT V6",29670
"Honda Pilot LX",27560
"Isuzu Rodeo S",20449
"Jeep Grand Cherokee Laredo",27905
"Kia Sorento LX",19635
"Land Rover Range Rover HSE",72250
"Lexus GX 470",45700
"Lexus LX 470",64800
"Lexus RX 330",39195
"Lincoln Aviator Ultimate",42915
"Mercedes-Benz G500",76870
"Mercedes-Benz ML500",46470
"Mercury Mountaineer",29995
"Mitsubishi Endeavor XLS",30492
"Mitsubishi Montero XLS",33112
"Nissan Pathfinder SE",27339
"Pontiac Aztekt",21595
"Porsche Cayenne S",56665
"Saturn VUE",20585
"Suzuki XL-7 EX",23699
"Toyota 4Runner SR5 V6",27710
"Toyota Highlander V6",27930
"Toyota Land Cruiser",54765
"Volkswagen Touareg V6",35515
"Volvo XC90 T6",41250
"Chevrolet Tracker",20255
"Ford Escape XLS",22515
"Honda CR-V LX",19860
"Honda Element LX",18690
"Hyundai Santa Fe GLS",21589
"Jeep Liberty Sport",20130
"Jeep Wrangler Sahara convertible 2dr",25520
"Land Rover Discovery SE",39250
"Land Rover Freelander SE",25995
"Mazda Tribute DX 2.0",21087
"Mitsubishi Outlander LS",18892
"Nissan Xterra XE V6",20939
"Suzuki Vitara LX",17163
"Toyota RAV4",20290
"Audi A6 3.0 Avant Quattro",40840
"Audi S4 Avant Quattro",49090
"BMW 325xi Sport",32845
"Chevrolet Malibu Maxx LS",22225
"Chrysler Pacifica",31230
"Ford Focus ZTW",17475
"Ford Taurus SE",22290
"Infiniti FX35",34895
"Infiniti FX45",36395
"Kia Rio Cinco",11905
"Lexus IS 300 SportCross",32455
"Mercedes-Benz C240",33780
"Mercedes-Benz E320",50670
"Mercedes-Benz E500",60670
"Mercury Sable GS",22595
"Mitsubishi Lancer Sportback LS",17495
"Nissan Murano SL",28739
"Pontiac Vibe",17045
"Saab 9-5 Aero",40845
"Saturn L300 2",23560
"Scion xB",14165
"Subaru Forester X",21445
"Subaru Outback",23895
"Suzuki Aerio SX",16497
"Toyota Matrix XR",16695
"Volkswagen Jetta GL",19005
"Volkswagen Passat GLS 1.8T",24955
"Volkswagen Passat W8",40235
"Volvo V40",26135
"Volvo XC70",35145
"Chevrolet Astro",26395
"Chevrolet Venture LS",27020
"Chrysler Town and Country LX",27490
"Chrysler Town and Country Limited",38380
"Dodge Caravan SE",21795
"Dodge Grand Caravan SXT",32660
"Ford Freestar SE",26930
"GMC Safari SLE",25640
"Honda Odyssey LX",24950
"Honda Odyssey EX",27450
"Kia Sedona LX",20615
"Mazda MPV ES",28750
"Mercury Monterey Luxury",33995
"Nissan Quest S",24780
"Nissan Quest SE",32780
"Oldsmobile Silhouette GL",28790
"Pontiac Montana",23845
"Pontiac Montana EWB",31370
"Toyota Sienna CE",23495
"Toyota Sienna XLE Limited",28800
"Cadillac Escalade EXT",52975
"Chevrolet Avalanche 1500",36100
"Chevrolet Colorado Z85",18760
"Chevrolet Silverado 1500 Regular Cab",20310
"Chevrolet Silverado SS",40340
"Chevrolet SSR",41995
"Dodge Dakota Regular Cab",17630
"Dodge Dakota Club Cab",20300
"Dodge Ram 1500 Regular Cab ST",20215
"Ford F-150 Regular Cab XL",22010
"Ford F-150 Supercab Lariat",33540
"Ford Ranger 2.3 XL Regular Cab",14385
"GMC Canyon Z85 SL Regular Cab",16530
"GMC Sierra Extended Cab 1500",25717
"GMC Sierra HD 2500",29322
"GMC Sonoma Crew Cab",25395
"Mazda B2300 SX Regular Cab",14840
"Mazda B4000 SE Cab Plus",22350
"Nissan Frontier King Cab XE V6",19479
"Nissan Titan King Cab XE",26650
"Subaru Baja",24520
"Toyota Tacoma",12800
"Toyota Tundra Regular Cab V6",16495
"Toyota Tundra Access Cab V6 SR5",25935
